time:1742726451.617457; distance: 7.061961957570545
time:1742726451.6379945; distance: 7.061961957570545
time:1742726453.0975056; distance: 7.061961957570545
time:1742726453.1207607; distance: 7.061961957570545
time:1742726453.139619; distance: 7.061961957570545
time:1742726455.9573991; distance: 7.061961957570545
time:1742726455.9773283; distance: 7.061961957570545
time:1742726455.9975712; distance: 7.061961957570545
time:1742726456.0174563; distance: 7.061961957570545
time:1742726456.977396; distance: 7.061961957570545
time:1742726462.2377255; distance: 7.061961957570545
time:1742726462.2582915; distance: 7.061961957570545
time:1742726462.2774267; distance: 7.061961957570545
time:1742726476.9573584; distance: 7.061961957570545
time:1742726476.9773586; distance: 7.061961957570545
time:1742726476.9973886; distance: 7.061961957570545
time:1742726477.0175908; distance: 7.061961957570545
time:1742726480.4573672; distance: 7.061961957570545
time:1742726480.47807; distance: 7.061961957570545
time:1742726480.497376; distance: 7.061961957570545
time:1742726480.9573429; distance: 7.061961957570545
time:1742726480.9773824; distance: 7.061961957570545
time:1742726480.9974296; distance: 7.061961957570545
time:1742726481.017432; distance: 7.061961957570545
time:1742726487.8373737; distance: 7.061708755525623
time:1742726487.8574843; distance: 7.061708755525623
time:1742726490.8374264; distance: 7.06170875861454
time:1742726490.8573983; distance: 7.06170875861454
time:1742726490.8774018; distance: 7.06170875861454
time:1742726494.4573975; distance: 7.06170875861454
time:1742726494.4775188; distance: 7.06170875861454
time:1742726512.6973748; distance: 7.060674414520972
time:1742726512.7177138; distance: 7.060674414520972
time:1742726517.9573555; distance: 7.060505874417759
time:1742726517.9843786; distance: 7.060505874417759
time:1742726521.4575157; distance: 7.061421227195062
time:1742726521.477833; distance: 7.061421227195062
time:1742726525.9573107; distance: 7.061383788254796
time:1742726525.9778528; distance: 7.061383788254796
